"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (N)","Rotation(8800 (0,3):Rotary Position Encoder) (deg)","Torque(8800 (0,3):Torque) (N·m)",
0,0,1,1,1,0,0,-3.74908676031764,-0.912300311028957,-0.02571702003479,0.917038414627314,
0.1,0.1,1,1,1,0,0,-3.74915232542781,-1.56050082296133,-0.02571702003479,0.923760235309601,
0.2,0.2,1,1,1,0,0,-3.7494294870299,-2.01014336198568,-0.02571702003479,0.935104675590992,
0.3,0.3,1,1,1,0,0,-3.75057538634175,-2.32139136642218,-0.02571702003479,0.939242076128721,
0.4,0.4,1,1,1,0,0,-3.75119564718513,-1.20005570352077,-0.02571702003479,0.934747979044914,
0.5,0.5,1,1,1,0,0,-3.75153874642642,-1.43651850521564,-0.02571702003479,0.93494076281786,
0.6,0.6,1,1,1,0,0,-3.75143369323853,-1.55435409396887,-0.02571702003479,0.938577111810446,
0.7,0.7,1,1,1,0,0,-3.75131299383117,-2.13391613215208,-0.02571702003479,0.940117985010147,
0.8,0.8,1,1,1,0,0,-3.75239370056188,-2.95818317681551,-0.02571702003479,0.938802026212215,
0.9,0.9,1,1,1,0,0,-3.76139400204897,-2.82037071883678,-0.02571702003479,0.933968462049961,
1,1,1,1,1,0,0,-3.76157877645036,-3.01864929497242,-0.02571702003479,0.935032963752747,
1.1,1.1,1,1,1,0,0,-3.76257715426433,-3.0584866181016,-0.02571702003479,0.937069766223431,
1.2,1.2,1,1,1,0,0,-3.76353902423286,-3.11015173792839,-0.02571702003479,0.940714497119188,
1.3,1.3,1,1,1,0,0,-3.76423043812193,-3.2452866435051,-0.02571702003479,0.937092117965221,
1.4,1.4,1,1,1,0,0,-3.76574327853332,-3.34843061864376,-0.02571702003479,0.944818370044231,
1.5,1.5,1,1,1,0,0,-3.76652223674563,-3.16237565129995,-0.02571702003479,0.943343155086041,
1.6,1.6,1,1,1,0,0,-3.76710673480164,-3.2093608751893,-0.02571702003479,0.944482162594795,
1.7,1.7,1,1,1,0,0,-3.768714942646,-3.02048865705729,-0.02571702003479,0.951433554291725,
1.8,1.8,1,1,1,0,0,-3.76914260597825,-3.38305253535509,0.000209002755582333,0.958172138780355,
1.9,1.9,1,1,1,0,0,-3.77173615312035,-3.5678269341588,-8.38190317153931E-08,1.03980395942926,
2,2,1,1,1,0,0,-3.77250430799065,-1.98616180568933,0.025650467723608,1.06078060343862,
2.1,2.1,1,1,1,0,0,-3.77253560042959,-2.23200768232346,0.0257062492892146,1.05286668986082,
2.2,2.2,1,1,1,0,0,-3.77265406466274,-2.17719934880733,0.0257062492892146,1.04637490585446,
2.3,2.3,1,1,1,0,0,-3.77251399374556,-2.39715445786715,0.0257062492892146,1.04257231578231,
2.4,2.4,1,1,1,0,0,-3.77281797743817,-2.32839956879616,0.0257062492892146,1.0319072753191,
2.5,2.5,1,1,1,0,0,-3.77484863320829,-3.22912819683552,0.0257062492892146,1.03572616353631,
2.6,2.6,1,1,1,0,0,-3.77627430182547,-3.25138680636883,0.0257062492892146,1.03942258283496,
2.7,2.7,1,1,1,0,0,-3.77659095150528,-3.07646114379168,0.0257062492892146,1.03428214788437,
2.8,2.8,1,1,1,0,0,-3.77868493721136,-3.46128363162279,0.0257062492892146,1.03193614631891,
2.9,2.9,1,1,1,0,0,-3.77899450883949,-3.23767308145761,0.0257062492892146,1.0315990075469,
3,3,1,1,1,0,0,-3.77981854306505,-3.63276340067387,0.0257062492892146,1.02805159986019,
3.1,3.1,1,1,1,0,0,-3.7809145234862,-3.0905706807971,0.0257062492892146,1.03138107806444,
3.2,3.2,1,1,1,0,0,-3.78237856259399,-3.52156348526478,0.0257062492892146,1.02926278486848,
3.3,3.3,1,1,1,0,0,-3.78297125628878,-3.3755786716938,0.0257062492892146,1.02971773594618,
3.4,3.4,1,1,1,0,0,-3.78438537650587,-3.50081827491522,0.0257062492892146,1.0281465947628,
3.5,3.5,1,1,1,0,0,-3.78476908141198,-3.49255278706551,0.0257062492892146,1.02407950907946,
3.6,3.6,1,1,1,0,0,-3.78645924564406,-3.58482357114553,0.0257062492892146,1.02552073076367,
3.7,3.7,1,1,1,0,0,-3.78692863222824,-3.51285561919212,0.0257062492892146,1.02109042927623,
3.8,3.8,1,1,1,0,0,-3.78848096071734,-3.49483452737331,0.0257062492892146,1.01983733475208,
3.9,3.9,1,1,1,0,0,-3.78886615573959,-3.33001371473074,0.0257062492892146,1.01120211184025,
4,4,1,1,1,0,0,-3.79016218425257,-3.48580069839954,0.0257062492892146,1.01602403447032,
4.1,4.1,1,1,1,0,0,-3.7911739731118,-3.58948018401861,-0.000153095461428165,0.963876023888588,
