"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (N)","Rotation(8800 (0,3):Rotary Position Encoder) (deg)","Torque(8800 (0,3):Torque) (N·m)",
0,0,1,1,1,0,0,-3.74995996837583,-2.38306820392609,0.000603203661739826,1.09086371958256,
0.1,0.1,1,1,1,0,0,-3.74988285486557,-3.74247319996357,-0.00280638691037893,1.02149276062846,
0.2,0.2,1,1,1,0,0,-3.75015144829985,-5.37959858775139,-0.0256989151239395,1.01345218718052,
0.3,0.3,1,1,1,0,0,-3.75042600219869,-5.78868202865124,-0.02571702003479,1.02383363991976,
0.4,0.4,1,1,1,0,0,-3.75171793289228,-6.34656753391027,-0.02571702003479,1.02413399145007,
0.5,0.5,1,1,1,0,0,-3.75284744092659,-5.87739050388336,-0.02571702003479,1.02330185472965,
0.6,0.6,1,1,1,0,0,-3.75296516010167,-4.99156303703785,-0.02571702003479,1.02557893842459,
0.7,0.7,1,1,1,0,0,-3.75313428828359,-5.18870074301958,-0.02571702003479,1.0287337936461,
0.8,0.8,1,1,1,0,0,-3.75303407797316,-5.54565340280533,-0.02571702003479,1.03104114532471,
0.9,0.9,1,1,1,0,0,-3.75306574294114,-5.57824969291687,-0.02571702003479,1.03351520374417,
1,1,1,1,1,0,0,-3.75343752691813,-5.73485158383846,-0.02571702003479,1.03599298745394,
1.1,1.1,1,1,1,0,0,-3.76256262563196,-7.01702665537596,-0.02571702003479,1.0288218036294,
1.2,1.2,1,1,1,0,0,-3.76307112776482,-6.58347271382809,-0.02571702003479,1.03376619517803,
1.3,1.3,1,1,1,0,0,-3.76389814222266,-6.70233275741339,-0.02571702003479,1.03274080902338,
1.4,1.4,1,1,1,0,0,-3.76519975867116,-6.63162209093571,-0.02571702003479,1.0322704911232,
1.5,1.5,1,1,1,0,0,-3.76608227995522,-6.32281880825758,-0.02571702003479,1.03390822187066,
1.6,1.6,1,1,1,0,0,-3.76677667407658,-6.81201927363873,-0.02571702003479,1.03186862543225,
1.7,1.7,1,1,1,0,0,-3.76744275599127,-6.61746598780155,-0.02571702003479,1.03964377194643,
1.8,1.8,1,1,1,0,0,-3.76889859946029,-6.40733633190393,-0.02571702003479,1.03696389123797,
1.9,1.9,1,1,1,0,0,-3.76948384257437,-6.45953696221113,-0.02571702003479,1.03910593315959,
2,2,1,1,1,0,0,-3.77088864956559,-6.39103818684816,-0.02571702003479,1.04110315442085,
2.1,2.1,1,1,1,0,0,-3.77126080607161,-6.4157648012042,-0.02571702003479,1.04475300759077,
2.2,2.2,1,1,1,0,0,-3.77298487044588,-6.55066687613726,-0.00235849991440773,1.0543754324317,
2.3,2.3,1,1,1,0,0,-3.77343972839769,-6.94040209054947,1.34529545903206E-05,1.06901582330465,
2.4,2.4,1,1,1,0,0,-3.77637935501336,-6.55185431241989,0.0254598213359714,1.17256445810199,
2.5,2.5,1,1,1,0,0,-3.77643597942669,-5.85352536290884,0.0257158046588302,1.16744358092546,
2.6,2.6,1,1,1,0,0,-3.77645013553002,-5.75329177081585,0.0257062492892146,1.15776527673006,
2.7,2.7,1,1,1,0,0,-3.77684240860394,-5.58376777917147,0.0257062492892146,1.15785980597138,
2.8,2.8,1,1,1,0,0,-3.77659244162142,-5.5910786613822,0.0257062492892146,1.15164136514068,
2.9,2.9,1,1,1,0,0,-3.77750737293153,-6.3733197748661,0.0257062492892146,1.14822527393699,
