"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (N)","Rotation(8800 (0,3):Rotary Position Encoder) (deg)","Torque(8800 (0,3):Torque) (N·m)",
0,0,1,1,1,0,0,-3.74998157505986,-38.3422942832112,0.0257031060755253,1.43643980845809,
0.1,0.1,1,1,1,0,0,-3.75001845543433,-39.1229055821896,0.0257062492892146,1.49092869833112,
0.2,0.2,1,1,1,0,0,-3.75028853898475,-40.0111079216003,0.050888336263597,1.56596675515175,
0.3,0.3,1,1,1,0,0,-3.75046735292158,-40.3709476813674,0.0514100259169936,1.58528424799442,
0.4,0.4,1,1,1,0,0,-3.75182633884149,-41.0913722589612,0.0514124985784292,1.6048951074481,
0.5,0.5,1,1,1,0,0,-3.75219067223778,-39.6736664697528,0.0514124985784292,1.59433856606483,
0.6,0.6,1,1,1,0,0,-3.75239556320706,-39.7019321098924,0.0514124985784292,1.59479817375541,
0.7,0.7,1,1,1,0,0,-3.75214038081804,-39.0290981158614,0.0514124985784292,1.59143889322877,
0.8,0.8,1,1,1,0,0,-3.75224394388979,-39.4646544009447,0.0514124985784292,1.59580493345857,
0.9,0.9,1,1,1,0,0,-3.75242871829118,-40.6528823077679,0.0514124985784292,1.59276882186532,
1,1,1,1,1,0,0,-3.76233240268829,-44.6398509666324,0.0514124985784292,1.61484489217401,
1.1,1.1,1,1,1,0,0,-3.7631251444749,-44.6922145783901,0.0514124985784292,1.6111396253109,
1.2,1.2,1,1,1,0,0,-3.76363327407873,-45.2385982498527,0.0514124985784292,1.62299070507288,
1.3,1.3,1,1,1,0,0,-3.76444315220095,-45.5170636996627,0.0514124985784292,1.6203373670578,
1.4,1.4,1,1,1,0,0,-3.76548213567974,-46.0002105683088,0.0514124985784292,1.62122817710042,
1.5,1.5,1,1,1,0,0,-3.76599734333523,-45.8904542028904,0.0514124985784292,1.61992851644754,
1.6,1.6,1,1,1,0,0,-3.76674128381825,-46.3954638689756,0.0514124985784292,1.62325846031308,
1.7,1.7,1,1,1,0,0,-3.76812001377701,-46.6765137389302,0.0514124985784292,1.6246628947556,
1.8,1.8,1,1,1,0,0,-3.76819526464209,-46.9006830826402,0.0514124985784292,1.62443518638611,
1.9,1.9,1,1,1,0,0,-3.76994652363592,-47.3430613055825,0.0514124985784292,1.62179907783866,
2,2,1,1,1,0,0,-3.77042149815562,-47.4168220534921,0.0514124985784292,1.62086635828018,
2.1,2.1,1,1,1,0,0,-3.7715677699965,-47.8991540148854,0.0514124985784292,1.619977876544,
2.2,2.2,1,1,1,0,0,-3.77336410500357,-48.2531730085611,0.0514124985784292,1.62176880985498,
2.3,2.3,1,1,1,0,0,-3.77347549118506,-48.2884934172034,0.044442736543715,1.61181995645165,
2.4,2.4,1,1,1,0,0,-3.77528709988256,-48.608728684485,0.0257063331082463,1.54252210631967,
2.5,2.5,1,1,1,0,0,-3.77711323721243,-48.2542207464576,-0.000208080746233463,1.44561752676964,
2.6,2.6,1,1,1,0,0,-3.77703016323761,-48.3322888612747,-1.2572854757309E-07,1.44477933645248,
2.7,2.7,1,1,1,0,0,-3.77705288750875,-48.5519645735621,0,1.44457118585706,
2.8,2.8,1,1,1,0,0,-3.77768469675222,-48.7207435071468,0,1.43943214789033,
2.9,2.9,1,1,1,0,0,-3.77908950374343,-49.0878242999315,0,1.43068702891469,
3,3,1,1,1,0,0,-3.77977346705181,-49.8204724863172,0,1.43164303153753,
3.1,3.1,1,1,1,0,0,-3.78074725794946,-49.6864784508944,0,1.43677834421396,
3.2,3.2,1,1,1,0,0,-3.78193674315841,-50.2773327752948,0,1.42749352380633,
3.3,3.3,1,1,1,0,0,-3.78265684178318,-50.8833210915327,0,1.43059017136693,
3.4,3.4,1,1,1,0,0,-3.78437010281543,-50.6953336298466,0,1.42306322231889,
3.5,3.5,1,1,1,0,0,-3.78431832127956,-51.3484934344888,0,1.42523040995002,
3.6,3.6,1,1,1,0,0,-3.78609379466066,-52.1806767210364,0,1.42696732655168,
3.7,3.7,1,1,1,0,0,-3.78728365239865,-51.6953412443399,0,1.41856307163835,
3.8,3.8,1,1,1,0,0,-3.78737417695417,-52.2160669788718,0,1.42428977414966,
3.9,3.9,1,1,1,0,0,-3.78912171065764,-52.7638243511319,0,1.41868088394403,
4,4,1,1,1,0,0,-3.78993158877987,-53.0402874574065,0,1.42038334161043,
4.1,4.1,1,1,1,0,0,-3.79056861342982,-53.2805686816573,0,1.4201202429831,
4.2,4.2,1,1,1,0,0,-3.79161802772159,-53.5251339897513,0,1.42356194555759,
4.3,4.3,1,1,1,0,0,-3.79207437578954,-53.6464853212237,0,1.42868142575026,
4.4,4.4,1,1,1,0,0,-3.79371536618899,-54.2818335816264,0,1.43204675987363,
4.5,4.5,1,1,1,0,0,-3.79491416462382,-54.4366426765919,0,1.4326237142086,
4.6,4.6,1,1,1,0,0,-3.79569610306841,-54.7492178156972,0,1.44328782334924,
4.7,4.7,1,1,1,0,0,-3.79686211894815,-55.1325967535377,0.0249413587152958,1.46373501047492,
4.8,4.8,1,1,1,0,0,-3.79868117822636,-56.1037566512823,0.025704656727612,1.54458405449986,
4.9,4.9,1,1,1,0,0,-3.80116445677408,-54.7414179891348,0.0516248540952802,1.61316618323326,
5,5,1,1,1,0,0,-3.80102699356014,-54.5849790796638,0.0514123728498816,1.60965276882052,
5.1,5.1,1,1,1,0,0,-3.80085823790726,-53.4658087417483,0.0514124985784292,1.60243362188339,
5.2,5.2,1,1,1,0,0,-3.80109293119935,-52.9611948877573,0.0514124985784292,1.60430744290352,
5.3,5.3,1,1,1,0,0,-3.80109293119935,-52.3226801306009,0.0514124985784292,1.59896956756711,
5.4,5.4,1,1,1,0,0,-3.80127211766521,-52.4090602993965,0.0514124985784292,1.59381423145533,
5.5,5.5,1,1,1,0,0,-3.80419721564852,-52.6964431628585,0.0514124985784292,1.6061756759882,
5.6,5.6,1,1,1,0,0,-3.80570074283402,-52.3274531587958,0.0514124985784292,1.60990282893181,
5.7,5.7,1,1,1,0,0,-3.80695765579832,-51.6422092914581,0.0514124985784292,1.60475075244904,
5.8,5.8,1,1,1,0,0,-3.80726014937479,-51.2815779075027,0.0514124985784292,1.59984035417438,
5.9,5.9,1,1,1,0,0,-3.80891976622599,-50.7300486788154,0.0514124985784292,1.5976089052856,
6,6,1,1,1,0,0,-3.80970133214155,-50.7694203406572,0.0514124985784292,1.60433910787106,
6.1,6.1,1,1,1,0,0,-3.81052648395421,-50.2364709973335,0.0514124985784292,1.59718003123999,
6.2,6.2,1,1,1,0,0,-3.81207210692068,-50.414027646184,0.0514124985784292,1.60391349345446,
6.3,6.3,1,1,1,0,0,-3.81288049492677,-49.9262008816004,0.0514124985784292,1.59834697842598,
6.4,6.4,1,1,1,0,0,-3.81347020838927,-50.102942623198,0.0514124985784292,1.60160893574357,
6.5,6.5,1,1,1,0,0,-3.8151376483502,-49.9453395605087,0.0514124985784292,1.60024920478463,
6.6,6.6,1,1,1,0,0,-3.81601122893742,-50.1339556649327,0.0514124985784292,1.59537186846137,
6.7,6.7,1,1,1,0,0,-3.81713030615875,-49.8393783345819,0.0514124985784292,1.59797957167029,
6.8,6.8,1,1,1,0,0,-3.8178459344351,-49.9421032145619,0.0514124985784292,1.59291131421924,
6.9,6.9,1,1,1,0,0,-3.81896501165643,-49.6223336085677,0.0514124985784292,1.59063329920173,
7,7,1,1,1,0,0,-3.81960836929998,-49.5390500873327,0.0514124985784292,1.59092387184501,
7.1,7.1,1,1,1,0,0,-3.82221644507444,-49.4174659252167,0.026377304457128,1.55678298324347,
7.2,7.2,1,1,1,0,0,-3.82448142160762,-49.4519481435418,-0.00278421677649021,1.43021484836936,
7.3,7.3,1,1,1,0,0,-3.82432011653544,-48.6270524561405,6.28642737865448E-07,1.42305996268988,
7.4,7.4,1,1,1,0,0,-3.82457269122121,-48.8114077597857,0,1.42336962744594,
7.5,7.5,1,1,1,0,0,-3.82443634559438,-48.7969955429435,0,1.42263667657971,
7.6,7.6,1,1,1,0,0,-3.82499662926311,-48.9819096401334,0,1.42499152570963,
7.7,7.7,1,1,1,0,0,-3.82621368162066,-49.6310414746404,0,1.42391677945852,
7.8,7.8,1,1,1,0,0,-3.82752721899828,-50.2153532579541,0,1.42237078398466,
7.9,7.9,1,1,1,0,0,-3.82871558662013,-50.6085576489568,0,1.42167648300529,
8,8,1,1,1,0,0,-3.82972066995673,-50.5814794450998,0,1.41570158302784,
8.1,8.1,1,1,1,0,0,-3.83069297073824,-51.2597151100636,0,1.41523079946637,
8.2,8.2,1,1,1,0,0,-3.83148720264099,-51.2975500896573,0,1.41685036942363,
8.3,8.3,1,1,1,0,0,-3.83247142435162,-51.5814172104001,0,1.41271809116006,
8.4,8.4,1,1,1,0,0,-3.83330626191919,-51.6660511493683,0,1.41180632635951,
8.5,8.5,1,1,1,0,0,-3.83474198882032,-51.8992776051164,0,1.41004892066121,
8.6,8.6,1,1,1,0,0,-3.83548853700658,-51.5223480761051,0,1.40715530142188,
8.7,8.7,1,1,1,0,0,-3.83674917526123,-51.93289835006,0,1.41033064574003,
8.8,8.8,1,1,1,0,0,-3.83749348827329,-51.9173219799995,0,1.4097006060183,
8.9,8.9,1,1,1,0,0,-3.83883086750916,-51.9382767379284,0,1.40960514545441,
9,9,1,1,1,0,0,-3.83956772994051,-51.95252597332,0,1.41181331127882,
9.1,9.1,1,1,1,0,0,-3.84019693148073,-51.7852138727903,0,1.41897099092603,
