"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (N)","Rotation(8800 (0,3):Rotary Position Encoder) (deg)","Torque(8800 (0,3):Torque) (N·m)",
0,0,1,1,1,0,0,-3.74997486953723,-0.692671164870262,0.102820261381567,1.32356584072113,
0.1,0.1,1,1,1,0,0,-3.75010972504792,-1.43116340041161,0.102820261381567,1.3300683349371,
0.2,0.2,1,1,1,0,0,-3.75017938797748,-3.56005039066076,0.102820261381567,1.33323017507792,
0.3,0.3,1,1,1,0,0,-3.75023936515212,-3.71448695659637,0.102820261381567,1.3262196443975,
0.4,0.4,1,1,1,0,0,-3.75141469425774,-3.7830788642168,0.102820261381567,1.34147331118584,
0.5,0.5,1,1,1,0,0,-3.75252892860161,-2.89957970380783,0.102820261381567,1.34180719032884,
0.6,0.6,1,1,1,0,0,-3.75234303661312,-2.3998087272048,0.102820261381567,1.33737968280911,
0.7,0.7,1,1,1,0,0,-3.75246112831723,-3.08956950902939,0.0769762974232435,1.29570346325636,
0.8,0.8,1,1,1,0,0,-3.7536465157068,-3.80359124392271,0.0486291199922562,1.19333807379007,
0.9,0.9,1,1,1,0,0,-3.75391846190239,-3.37508972734213,0.05141522269696,1.18460459634662,
1,1,1,1,1,0,0,-3.76026859183405,-5.0640432164073,0.0514124566689134,1.16597581654787,
1.1,1.1,1,1,1,0,0,-3.76335089707015,-4.30676154792309,0.0514124566689134,1.17626739665866,
1.2,1.2,1,1,1,0,0,-3.76353678905865,-4.3501378968358,0.0514124566689134,1.17459613829851,
1.3,1.3,1,1,1,0,0,-3.76457949782778,-4.61942981928587,0.0514124566689134,1.18501391261816,
1.4,1.4,1,1,1,0,0,-3.76558942404184,-4.7474168241024,0.0514124566689134,1.18870753794909,
1.5,1.5,1,1,1,0,0,-3.76616647151715,-4.35595866292715,0.0514124566689134,1.18917133659124,
1.6,1.6,1,1,1,0,0,-3.76714547782129,-4.77207358926535,0.0514124566689134,1.19576044380665,
1.7,1.7,1,1,1,0,0,-3.76845976025699,-4.56429552286863,0.0514124566689134,1.19297998026013,
1.8,1.8,1,1,1,0,0,-3.76892057867336,-4.55554109066725,0.0514124566689134,1.19560025632381,
1.9,1.9,1,1,1,0,0,-3.77026429090282,-4.536472260952,0.0514124566689134,1.19310710579157,
2,2,1,1,1,0,0,-3.77104958210873,-4.63915057480335,0.0514124566689134,1.19701260700822,
2.1,2.1,1,1,1,0,0,-3.77207999741971,-4.61502932012081,0.0514124566689134,1.20179681107402,
2.2,2.2,1,1,1,0,0,-3.77273266828914,-4.47039492428303,0.0514124566689134,1.19405053555965,
2.3,2.3,1,1,1,0,0,-3.77349896051426,-4.8966147005558,0.0514124566689134,1.20346294716001,
2.4,2.4,1,1,1,0,0,-3.77509673754564,-4.99321613460779,0.0514124566689134,1.20517984032631,
2.5,2.5,1,1,1,0,0,-3.77557469229763,-4.85635828226805,0.0514124566689134,1.20581313967705,
2.6,2.6,1,1,1,0,0,-3.77645833116879,-5.35205472260714,0.0514124566689134,1.20975496247411,
2.7,2.7,1,1,1,0,0,-3.77729912920093,-4.89121302962303,0.0514124566689134,1.20712863281369,
2.8,2.8,1,1,1,0,0,-3.77843832299015,-5.01691829413176,0.0514124566689134,1.22069707140327,
2.9,2.9,1,1,1,0,0,-3.77940876112648,-5.0458824262023,0.0707850465551019,1.23329553753138,
3,3,1,1,1,0,0,-3.78080052960147,-5.40076289325953,0.0771397445350885,1.27395056188107,
3.1,3.1,1,1,1,0,0,-3.78376399807539,-5.05207572132349,0.102084875106812,1.39897409826517,
3.2,3.2,1,1,1,0,0,-3.78356171480935,-4.06852923333645,0.10282558389008,1.39163481071591,
3.3,3.3,1,1,1,0,0,-3.7834156834276,-4.53151296824217,0.10282558389008,1.38851534575224,
3.4,3.4,1,1,1,0,0,-3.78360381059031,-4.46804333478212,0.10282558389008,1.37851154431701,
3.5,3.5,1,1,1,0,0,-3.78367570869408,-4.5625027269125,0.10282558389008,1.37515645474195,
3.6,3.6,1,1,1,0,0,-3.78431683116342,-5.14134299010038,0.10282558389008,1.37328961864114,
