"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,1) Waveform)","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (N)","Rotation(8800 (0,3):Rotary Position Encoder) (deg)","Torque(8800 (0,3):Torque) (N·m)",
0,0,1,1,1,0,0,-3.75006725673792,-48.832013271749,0.102825458161533,1.64992967620492,
0.1,0.1,1,1,1,0,0,-3.75008439307354,-49.0199076011777,0.102825458161533,1.64660392329097,
0.2,0.2,1,1,1,0,0,-3.74994432215635,-50.60073453933,0.102825458161533,1.65069662034512,
0.3,0.3,1,1,1,0,0,-3.75002814118924,-51.0570826008916,0.102825458161533,1.65340723469853,
0.4,0.4,1,1,1,0,0,-3.75079815870472,-51.756901666522,0.102825458161533,1.66933983564377,
0.5,0.5,1,1,1,0,0,-3.75103881246137,-50.1882052049041,0.102825458161533,1.66476657614112,
0.6,0.6,1,1,1,0,0,-3.75098405069321,-50.2620358020067,0.102825458161533,1.65781890973449,
0.7,0.7,1,1,1,0,0,-3.75105483120987,-50.6632495671511,0.102825458161533,1.65580725297332,
0.8,0.8,1,1,1,0,0,-3.75075643545279,-51.7995562404394,0.102825458161533,1.66397588327527,
0.9,0.9,1,1,1,0,0,-3.75903403061186,-55.5174890905619,0.102825458161533,1.7122901044786,
1,1,1,1,1,0,0,-3.76181235215535,-55.4581638425589,0.102825458161533,1.6966019757092,
1.1,1.1,1,1,1,0,0,-3.76222772202944,-55.8318104594946,0.102825458161533,1.69398402795196,
1.2,1.2,1,1,1,0,0,-3.76368282044039,-56.1204040423036,0.102825458161533,1.69410277158022,
1.3,1.3,1,1,1,0,0,-3.76403150761721,-56.2914879992604,0.102825458161533,1.69498985633254,
1.4,1.4,1,1,1,0,0,-3.76539421882746,-56.7609677091241,0.102825458161533,1.69724179431796,
1.5,1.5,1,1,1,0,0,-3.7660405567033,-57.0133794099092,0.102825458161533,1.68660562485456,
1.6,1.6,1,1,1,0,0,-3.76736526995198,-57.1735203266144,0.102825458161533,1.69191416352987,
1.7,1.7,1,1,1,0,0,-3.76784545987817,-57.3588302358985,0.102825458161533,1.69296888634562,
