index,timestamp_sec,strain_value
0,0.00,
1,1.00,02748
2,2.00,0258
3,3.00,0252
4,4.00,0258
5,5.00,0258
6,6.00,0252
7,7.00,0258
8,8.00,0258
9,9.00,0258
10,10.00,0252
11,11.00,0258
12,12.00,0258
13,13.00,0258
14,14.00,0250
15,15.00,0250
16,16.00,0250
17,17.00,0258
18,18.00,002748
19,19.00,0243
20,20.00,0250
21,21.00,0250
22,22.00,02738
23,23.00,00249
24,24.00,0259
25,25.00,0243
26,26.00,00249
27,27.00,002748
28,28.00,02743
29,29.00,00249
30,30.00,00249
31,31.00,0258
32,32.00,02748
33,33.00,0248
34,34.00,0258
35,35.00,0243
36,36.00,0243
37,37.00,02748
38,38.00,02748
39,39.00,00243
40,40.00,0243
41,41.00,002748
42,42.00,00243
43,43.00,00243
44,44.00,00243
45,45.00,00248
46,46.00,02748
47,47.00,02748
48,48.00,02748
49,49.00,00249
50,50.00,0249
51,51.00,02748
52,52.00,0248
53,53.00,02748
54,54.00,02748
55,55.00,0248
56,56.00,002748
57,57.00,02748
58,58.00,02748
59,59.00,02748
60,60.00,0248
61,61.00,02748
62,62.00,00248
63,63.00,02748
64,64.00,02748
65,65.00,0244
66,66.00,0274
67,67.00,02748
68,68.00,02748
69,69.00,02458
70,70.00,0249
71,71.00,02748
72,72.00,02748
73,73.00,02
74,74.00,
75,75.00,
76,76.00,
77,77.00,02748
78,78.00,
79,79.00,02
80,80.00,4
81,81.00,0274
82,82.00,0274
83,83.00,02748
84,84.00,02748
85,85.00,02748
86,86.00,0244
87,87.00,0248
88,88.00,002748
89,89.00,0248
90,90.00,02748
91,91.00,
92,92.00,0245
93,93.00,00748
94,94.00,002745
95,95.00,0274
96,96.00,0244
97,97.00,024
98,98.00,02748
99,99.00,0748
100,100.00,027458
101,101.00,0248
102,102.00,002745
103,103.00,00745
104,104.00,027458
105,105.00,024
106,106.00,02748
107,107.00,002745
108,108.00,002745
109,109.00,0248
110,110.00,02748
111,111.00,002745
112,112.00,002745
113,113.00,002748
114,114.00,02748
115,115.00,027438
116,116.00,02745
117,117.00,002745
118,118.00,02745
119,119.00,02745
120,120.00,
121,121.00,
122,122.00,
123,123.00,02
124,124.00,
125,125.00,
126,126.00,002745
127,127.00,02748
128,128.00,002745
129,129.00,002745
130,130.00,02
131,131.00,
132,132.00,
133,133.00,002748
134,134.00,002748
135,135.00,002745
136,136.00,002745
137,137.00,0745
138,138.00,02745
139,139.00,002745
140,140.00,002745
141,141.00,002745
142,142.00,002745
143,143.00,002745
144,144.00,002745
145,145.00,002745
146,146.00,
147,147.00,002745
148,148.00,002745
149,149.00,002745
150,150.00,002745
151,151.00,002745
152,152.00,002745
153,153.00,002745
154,154.00,002745
155,155.00,002745
156,156.00,002745
157,157.00,002745
158,158.00,00745
159,159.00,002745
160,160.00,02745
161,161.00,002745
162,162.00,002745
163,163.00,00245
164,164.00,00245
165,165.00,002745
166,166.00,02745
167,167.00,00745
168,168.00,00245
169,169.00,00245
170,170.00,002745
171,171.00,002745
172,172.00,002745
173,173.00,00245
174,174.00,00245
175,175.00,002745
176,176.00,02745
177,177.00,00245
178,178.00,02745
179,179.00,02745
180,180.00,002745
181,181.00,002745
182,182.00,00245
183,183.00,00245
184,184.00,00245
185,185.00,0245
186,186.00,002745
187,187.00,00245
188,188.00,02745
189,189.00,002745
190,190.00,002745
191,191.00,002745
192,192.00,00245
193,193.00,00245
194,194.00,002745
195,195.00,002745
196,196.00,00245
197,197.00,00245
198,198.00,002745
199,199.00,02745
200,200.00,002745
201,201.00,00243
202,202.00,00248
203,203.00,002745
204,204.00,002745
205,205.00,002745
206,206.00,00245
207,207.00,00243
208,208.00,00245
209,209.00,002745
210,210.00,002745
211,211.00,00245
212,212.00,002745
213,213.00,0748
214,214.00,002745
215,215.00,002745
216,216.00,00245
217,217.00,00245
218,218.00,002745
219,219.00,002745
220,220.00,002745
221,221.00,
222,222.00,0245
223,223.00,
224,224.00,002745
225,225.00,02745
226,226.00,0745
227,227.00,00245
228,228.00,02745
229,229.00,002745
230,230.00,00245
231,231.00,002745
232,232.00,002745
233,233.00,02745
