Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Load ADC 1 channel 1;Position ADC 1 channel 2
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;kN;mm
0.02515;1;25.755;0;0;-2.18903;25.6617;0.0289083;0;0;0;0;0;0;0;-6.07817;-4.44089e-16;-6.93889e-17;0;1.05895e-17;-4.54679e-16;2.32634e-16;;;3.0671e-16;3.10179e-16;;;0;45;0;-4.44089e-16;-8.32667e-17;-5.55112e-17;0;0;0;0;0;0;0;0;0;-6.05259;0;6.93889e-18;0;6.93889e-18;-6.93889e-18;6.93889e-18;;;8.01234e-18;9.25186e-18;;;0;45;0;0;4.16334e-17;-2.77556e-17;0;0;0;0;0;-0.0134974;0.206297
1000.03;2;25.7562;0.00127225;4.93982e-05;-2.18885;25.663;0.035278;0.000186608;0.00128482;0.00636973;-0.000315693;-0.00374813;-0.00238588;0.00445427;-6.08056;-0.000347056;-0.000188905;-4.45196e-05;4.62186e-05;-0.000437794;0.000242006;-7.79558;-0.128278;0.000308425;0.000322675;0.105572;9.47225;47.4225;92.4225;0.000251947;-0.000347038;-0.00037488;-2.98554e-06;-4.4572e-05;0.000696947;0.000785342;0;0.0102028;-0.000263976;-0.00363637;-0.00476566;0.00600037;-6.05736;0.000683976;4.42164e-05;0.000659803;0.000717728;0.000626051;4.58386e-05;-1.03664;-0.964658;0.000451043;6.11182e-05;-1.14644;-0.872267;27.1969;72.1969;-0.000177218;0.000683934;-0.000204735;0.000293174;0.000659783;0.00650074;0.00128191;0;0.0246636;-0.0129405;0.21391
2000.03;3;25.7526;-0.00232321;-9.02045e-05;-2.18985;25.6594;0.0159173;-0.000813117;-0.00238969;-0.0129909;-0.000748764;-0.0078287;-0.00541199;0.00954667;-6.08359;-0.000370401;-7.30693e-05;0.00012832;0.000138805;-0.000380886;0.000259846;2.88655;0.346434;0.000310705;0.000346461;0.364426;2.74404;27.5349;72.5349;0.000737786;-0.000370399;-0.000170181;2.39937e-05;0.000128308;-0.000870498;0.00199292;0;0.0199052;-0.000351591;-0.00793893;-0.0128248;0.0150873;-6.06542;0.00101012;-0.000103686;0.00076452;0.00104804;0.000726602;0.000160719;-1.32125;-0.75686;0.000619975;0.000214292;-1.44239;-0.693296;157.697;22.6967;-0.000200321;0.00101013;-0.000172493;-3.48615e-05;0.000764511;0.012365;-0.00113056;0;0.0305367;-0.0124429;0.221211
3000.03;4;25.7545;-0.00046568;-1.80812e-05;-2.19076;25.6611;0.0176173;-0.0017251;-0.000604353;-0.0112909;-0.000663212;-0.0121237;-0.00500817;0.0131341;-6.08318;-0.000511463;-0.000341105;0.000468349;0.000575402;-0.000618516;0.000596959;1.09205;0.915705;0.000689459;0.000795945;0.930295;1.07493;59.7158;104.716;0.00141529;-0.000511411;-0.000568284;-0.000114148;0.000468245;-0.00137114;0.000479754;0;0.0251489;-0.000194345;-0.0116533;-0.0171521;0.0207372;-6.06975;0.001083;-0.000135811;0.000931601;0.00116278;0.000851818;0.000155483;-1.16252;-0.860203;0.000695119;0.000207311;-1.36506;-0.732567;145.299;10.2989;0.0006603;0.00108301;-0.000287163;1.55644e-05;0.000931569;0.0112105;0.000388091;0;0.0360175;-0.0121213;0.228928
4000.03;5;25.7531;-0.00188792;-7.33032e-05;-2.19107;25.6597;0.0113699;-0.00203235;-0.00205447;-0.0175384;-0.000316671;-0.0158737;-0.00643049;0.0171297;-6.0846;-0.000508561;-0.000213479;4.59212e-05;0.000118588;-0.000581228;0.000349908;11.0746;0.0902964;0.000432469;0.000466544;0.204031;4.90122;43.4;88.4;0.00144154;-0.000508539;-0.000481467;5.43611e-05;4.58281e-05;-0.00281678;0.000917985;0;0.0200863;0.000112482;-0.014794;-0.0224103;0.0268533;-6.075;0.000982913;1.07899e-05;0.00074517;0.000983402;0.000744681;0.000119361;-1.31905;-0.758123;0.000592287;0.000159147;-1.32057;-0.75725;174.73;39.7298;-0.00115023;0.000982881;-0.00023271;0.000254347;0.000745143;0.0133721;0.00321409;0;0.0373036;-0.0116716;0.236144
5000.03;6;25.7532;-0.00172349;-6.69189e-05;-2.19115;25.6598;0.00849969;-0.00211869;-0.00189571;-0.0204086;-0.0001562;-0.01824;-0.00883081;0.0202659;-6.087;-0.000458469;-0.000116662;0.000402551;0.000418078;-0.000473996;0.000446037;1.13891;0.878033;0.000515376;0.000594716;0.882028;1.13375;50.3096;95.3096;0.00149838;-0.000458489;-0.000467906;0.000234279;0.000402448;-0.000970854;0.00290467;0;0.020602;-7.50564e-05;-0.0171368;-0.0274231;0.0323373;-6.08002;0.000960049;-3.18182e-05;0.000675779;0.000963567;0.000672261;0.000145653;-1.42066;-0.7039;0.000570624;0.000194204;-1.43332;-0.697679;161.859;26.8587;-0.000178312;0.000959996;-0.000390523;0.000326989;0.000675703;0.0109662;0.00340769;0;0.0368417;-0.0116543;0.243766
6000.03;7;25.7536;-0.00134287;-5.21404e-05;-2.19177;25.6602;0.00965155;-0.00273656;-0.00156688;-0.0192567;-0.000798602;-0.0208458;-0.00956939;0.0229512;-6.08774;-0.00049405;-0.000357828;-0.000287963;-1.86375e-05;-0.000763376;0.00037237;-1.71567;-0.582862;0.00050282;0.000496493;-0.0244145;-40.9593;54.725;99.725;0.00190554;-0.00049399;-0.000636776;-7.89385e-05;-0.000288102;-0.000497453;0.00430252;0;0.0153781;-0.000526711;-0.0193172;-0.0317997;0.0372109;-6.08439;0.00102307;-3.26062e-06;0.000592918;0.00102309;0.000592893;0.000215099;-1.72548;-0.57955;0.000593166;0.000286798;-1.72559;-0.579512;169.954;34.9542;-0.00053228;0.00102303;-0.000285179;0.000278779;0.000592878;0.0142698;0.00346377;0;0.0378368;-0.0114843;0.251314
7000.03;8;25.753;-0.00193662;-7.5194e-05;-2.19295;25.6595;0.00670814;-0.00391893;-0.00226287;-0.0222001;-0.00181008;-0.0224481;-0.0156614;0.0274312;-6.09383;-0.000364457;-2.29932e-05;-4.23744e-05;-4.07412e-05;-0.00036609;0.000162675;-8.60089;-0.116267;0.000231677;0.000216899;-0.111287;-8.98576;33.1236;78.1236;0.00215888;-0.000364503;-0.000349969;0.000303877;-4.24354e-05;-0.00113186;0.00383466;0;0.0171622;-0.00137554;-0.0210697;-0.0415432;0.0466011;-6.09414;0.00129548;-0.000144264;0.000783408;0.00133333;0.000745562;0.000293883;-1.65365;-0.604722;0.000771593;0.000391844;-1.78835;-0.559174;157.778;22.7782;-0.000356809;0.00129548;-0.000423882;0.000135498;0.000783328;0.0157812;0.00483613;0;0.037279;-0.0112584;0.259035
8000.03;9;25.7518;-0.00319605;-0.000124094;-2.19224;25.6583;0.00179093;-0.00320706;-0.00346524;-0.0271173;-0.00270345;-0.0254095;-0.0164017;0.0303639;-6.09457;-0.00038867;7.32261e-05;0.000274929;0.000282913;-0.000396654;0.000339783;1.41371;0.707358;0.000394176;0.000453045;0.713249;1.40204;34.3304;79.3304;0.00155078;-0.000388762;-0.000289874;0.000436086;0.000274889;0.000968919;0.000735514;0;0.0162646;-0.00217115;-0.0239554;-0.0454069;0.0513845;-6.098;0.00112768;-0.000220514;0.000804883;0.00123955;0.000693013;0.00027327;-1.40105;-0.713748;0.00071732;0.00036436;-1.78864;-0.559083;143.678;8.67795;0.00181477;0.0011277;-0.000550607;0.000109685;0.000804755;0.0139836;0.000941711;0;0.036887;-0.011296;0.265928
