Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Load ADC 1 channel 1;Position ADC 1 channel 2
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;kN;mm
0.02515;1;24.1941;0;0;-2.1724;24.0959;-0.153704;0;0;0;0;0;0;0;-5.40752;-3.33067e-16;-1.17961e-16;0;3.75455e-17;-3.70612e-16;2.04079e-16;;;2.60494e-16;2.72105e-16;;;0;45;0;-3.33067e-16;-1.249e-16;-1.11022e-16;0;0;0;0;0;0;0;0;0;-5.57848;-2.22045e-16;-3.46945e-17;0;5.29476e-18;-2.27339e-16;1.16317e-16;;;1.53355e-16;1.55089e-16;;;0;45;0;-2.22045e-16;-2.77556e-17;-4.16334e-17;0;0;0;0;0;-0.0255761;-1.00916
1000.03;2;24.19;-0.00412911;-0.000170666;-2.17144;24.0918;-0.164981;0.000966084;-0.00413344;-0.0112767;0.00140605;-0.0173858;0.00638101;0.0185731;-5.40114;0.000154552;0.000184113;7.13836e-05;0.000301718;-7.57825e-05;0.00018875;-2.16509;-0.461875;0.000230595;0.000251667;3.98137;0.25117;179.964;44.9641;0.000321726;0.000154332;-0.000319582;0.000687849;7.13495e-05;0.000670708;-0.00482128;0;0.0162136;0.000614379;-0.0153105;0.000364015;0.0153271;-5.57811;0.000415216;1.86872e-05;-0.000243433;0.000415746;-0.000243963;0.000329854;1.70567;0.586281;0.000385163;0.000439806;1.70413;0.586809;169.662;34.6624;0.00193949;0.000415214;-1.94066e-05;5.68061e-05;-0.000243433;-0.00613684;-0.00195193;0;0.017796;-0.0254941;-1.00618
2000.03;3;24.1896;-0.004499;-0.000185954;-2.172;24.0913;-0.175043;0.00040552;-0.00462637;-0.0213391;-0.000282123;-0.0380981;0.0145765;0.0407924;-5.39294;0.000193375;-0.000116847;0.000444479;0.000490439;0.000147415;0.000171512;-0.435059;-2.29854;0.000290566;0.000228683;-3.32694;-0.300577;83.5001;128.5;0.000683998;0.000193319;-0.000589037;0.000355226;0.000444313;6.84432e-05;-0.00422521;0;0.0180881;-0.00104159;-0.0355639;0.00189149;0.0356294;-5.57658;0.000582302;-7.06071e-05;-0.000627507;0.000586408;-0.000631614;0.000609011;0.92796;1.07763;0.000703387;0.000812015;0.928428;1.07709;46.7085;91.7085;0.00150663;0.000582285;5.64838e-05;-0.000197852;-0.000627506;-0.0021429;-0.00166408;0;0.0184447;-0.025261;-0.996655
3000.03;4;24.1922;-0.00190656;-7.88026e-05;-2.17283;24.0938;-0.174267;-0.000433759;-0.0020934;-0.0205634;-0.0023519;-0.0601852;0.0186989;0.063067;-5.38882;0.000206617;-5.42481e-05;0.00102273;0.00102632;0.000203027;0.000411647;-0.202025;-4.94988;0.000627582;0.000548862;-5.05509;-0.19782;80.5592;125.559;0.000363127;0.000206587;-0.000360437;0.000251691;0.00102267;0.000129418;-0.00339999;0;0.0189834;-0.00286962;-0.0594791;0.00189776;0.0595786;-5.57658;0.000182344;-8.25534e-05;-0.000534488;0.000191728;-0.000543872;0.0003678;0.341157;2.93121;0.000440622;0.0004904;0.352525;2.83668;70.0588;115.059;0.000525843;0.000182333;6.76865e-06;-0.00017194;-0.000534484;-0.00283953;-0.00160064;0;0.0200051;-0.0253968;-0.98507
4000.03;5;24.1885;-0.00560296;-0.000231584;-2.17027;24.0903;-0.181589;0.0021265;-0.0056282;-0.0278854;-0.00352503;-0.07647;0.0215506;0.0795268;-5.38597;0.000167995;2.03431e-05;0.000490228;0.000491508;0.000166716;0.000162396;-0.342688;-2.91811;0.000288623;0.000216528;-2.94817;-0.339193;63.6227;108.623;8.09972e-05;0.000167932;-0.000315468;0.000356046;0.000490179;0.000710433;-0.0038578;0;0.0180033;-0.00415179;-0.0740567;0.00055171;0.074175;-5.57792;0.000203217;-5.80464e-05;-0.000424298;0.000208541;-0.000429623;0.000319082;0.478949;2.08791;0.000375742;0.000425443;0.485406;2.06013;53.1485;98.1485;0.00112894;0.000203181;0.000160852;-0.000277082;-0.00042431;-0.00460517;-0.00131182;0;0.0181773;-0.0254831;-0.984221
5000.03;6;24.1891;-0.00505598;-0.000208975;-2.17066;24.0908;-0.185834;0.00174382;-0.00514583;-0.0321301;-0.00457747;-0.0927769;0.0241141;0.0959687;-5.38341;0.000249458;0.000265599;0.000246398;0.000513532;-1.76756e-05;0.000265604;-1.01242;-0.987737;0.000348396;0.000354138;29.0531;0.0344198;10.3271;55.3271;0.00155645;0.000249076;-0.000381513;0.000912713;0.000246361;-0.00206926;-0.00462269;0;0.0201192;-0.00528113;-0.08934;-0.000583454;0.0894978;-5.57906;0.000247886;-4.39725e-05;-0.000498837;0.000250466;-0.000501418;0.000375942;0.496927;2.01237;0.000442087;0.000501256;0.499516;2.00194;49.6865;94.6865;0.000846375;0.000247772;0.000390487;-0.000478757;-0.000498913;-0.000920008;-0.00154715;0;0.0198894;-0.0254462;-0.976988
6000.03;7;24.1896;-0.00455614;-0.000188316;-2.17155;24.0911;-0.194739;0.000852595;-0.00479461;-0.0410352;-0.0061479;-0.109792;0.0267363;0.113168;-5.38078;0.000276956;6.90959e-05;0.000553757;0.000570046;0.000260667;0.00015469;-0.50014;-1.99944;0.000329517;0.000206253;-2.18688;-0.457273;59.1104;104.11;0.00177373;0.000276893;-0.000224629;0.00036274;0.000553734;-0.00301752;-0.00329885;0;0.0242507;-0.00686977;-0.107994;-0.000649409;0.108214;-5.57912;0.000270925;-1.73947e-05;-0.000591723;0.000271276;-0.000592073;0.000431675;0.457859;2.18408;0.000509796;0.000575566;0.45818;2.18255;61.8353;106.835;0.0010071;0.000270897;0.000203374;-0.000238354;-0.000591743;-0.0011526;0.00012985;0;0.0294547;-0.0254173;-0.965047
7000.03;8;24.1914;-0.00270505;-0.000111806;-2.1719;24.093;-0.191269;0.00049645;-0.00294026;-0.0375651;-0.00797435;-0.120496;0.0253071;0.123383;-5.38221;0.000195531;-0.000268273;0.000296834;0.000519196;-2.68306e-05;0.000273013;-0.658721;-1.51809;0.000355412;0.000364018;19.3509;0.0516772;114.801;159.801;-0.000108391;0.000195559;-0.000408781;-0.00012778;0.000296787;-0.00070506;-0.00235236;0;0.0322341;-0.00873245;-0.120256;-0.00572741;0.120708;-5.5842;0.000140024;-0.000138069;-0.000377053;0.000174581;-0.00041161;0.000293096;0.371364;2.69278;0.000347538;0.000390794;0.424142;2.3577;40.7334;85.7334;0.00117585;0.000139922;0.00019502;-0.00047133;-0.000377063;-0.00531544;-0.00152577;0;0.0309002;-0.0254738;-0.962403
8000.03;9;24.1902;-0.00393465;-0.000162628;-2.17098;24.0918;-0.190448;0.00141611;-0.00408548;-0.0367442;-0.00819979;-0.131674;0.0205757;0.133524;-5.38694;0.000202706;0.000212518;0.00107051;0.00111976;0.000153457;0.000483153;-0.189354;-5.28111;0.000700978;0.000644204;-7.29689;-0.137045;63.1218;108.122;0.000725621;0.00020258;-0.000121551;0.000546298;0.00107053;-0.000467712;-0.00437926;0;0.0216243;-0.00886717;-0.129998;-0.0121421;0.130864;-5.59062;0.000174582;-6.21178e-05;-0.000242284;0.000183641;-0.000251344;0.000217492;0.720565;1.3878;0.000252151;0.00028999;0.730637;1.36867;41.7274;86.7274;0.00082873;0.000174552;0.00012874;-0.000253055;-0.000242291;-0.00283717;0.000266223;0;0.0196476;-0.0255047;-0.955214
