Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Voltage ADC 1 channel 1
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;V
0.02515;1;25.8055;0;0;-2.394;25.6913;0.387673;0;0;0;0;0;0;0;-5.93651;-1.11022e-16;1.38778e-16;-1.11022e-16;2.77556e-17;-2.498e-16;1.38778e-16;;;1.76514e-16;1.85037e-16;;;0;45;0;-1.11022e-16;1.38778e-16;1.38778e-16;-1.11022e-16;0;0;0;0;0;0;0;0;-5.62768;-1.11022e-16;-3.46945e-18;0;1.08315e-19;-1.11131e-16;5.56195e-17;;;7.41232e-17;7.41593e-17;;;0;45;0;-1.11022e-16;-2.77556e-17;2.08167e-17;0;0;0;0;0;0.0142171
1000.03;2;25.8049;-0.000660533;-2.55966e-05;-2.39318;25.6908;0.382869;0.000821726;-0.000514867;-0.00480392;-0.00325403;-0.01288;0.00274805;0.0135659;-5.93376;-0.000144666;-0.000151995;6.76565e-05;0.000146894;-0.000223904;0.000185399;2.13824;0.467674;0.000215614;0.000247199;0.65606;1.52425;68.6752;113.675;-0.000746742;-0.000144663;-0.000435864;0.000131813;6.75731e-05;0.0051258;0.00362854;0;0.0145216;-0.00352948;-0.0123895;0.000391082;0.0128884;-5.62729;0.000115666;2.90016e-05;0.000111182;0.000142512;8.43357e-05;2.90882e-05;-1.04033;-0.961231;8.27401e-05;3.87842e-05;-1.68982;-0.59178;3.57914;48.5791;0.00284829;0.000115496;-0.000525393;0.000583399;0.000111044;-0.00279616;0.000354562;0;0.0203203;0.0142783
2000.03;3;25.8046;-0.000962448;-3.72962e-05;-2.39363;25.6905;0.381496;0.000369303;-0.000839847;-0.00617688;-0.00321894;-0.024047;0.0107546;0.0265383;-5.92576;-0.00011793;5.65041e-06;0.000381013;0.000381077;-0.000117994;0.000249536;0.309518;3.23083;0.000301188;0.000332714;3.22962;0.309634;58.8213;103.821;7.94365e-05;-0.00011796;-0.000232384;0.000243566;0.000380986;0.00371375;0.00372028;0;0.0143695;-0.00436953;-0.022097;0.00515441;0.0231071;-5.62252;0.000243353;0.000170284;-2.14229e-05;0.000326658;-0.000104728;0.000215693;11.3595;0.0880321;0.000259815;0.00028759;3.11912;0.320603;169.232;34.2318;0.00346485;0.000243217;-0.00020876;0.000549429;-2.14302e-05;-0.00339631;0.000644452;0;0.022386;0.0142703
3000.03;4;25.8036;-0.00190529;-7.38325e-05;-2.39252;25.6896;0.38281;0.00148639;-0.00170236;-0.0048627;-0.00381804;-0.036424;0.0187637;0.0411504;-5.91775;-0.000719059;0.000206108;0.000364048;0.000401943;-0.000756954;0.000579449;1.97518;0.506284;0.000679474;0.000772598;0.531;1.88324;168.828;33.8282;-0.000894291;-0.000719058;0.000210781;0.00020144;0.000364047;0.00388637;0.00479102;0;0.0163468;-0.00507166;-0.0340214;0.0111397;0.0361562;-5.61654;0.000118127;-2.22769e-05;-0.00010029;0.000120376;-0.000102539;0.000111458;1.17785;0.849003;0.000128838;0.00014861;1.17395;0.851824;129.741;174.741;0.00283512;0.000118007;-0.000534922;0.000490481;-0.000100433;-0.00479912;0.000570201;0;0.0239466;0.0142878
4000.03;5;25.8056;9.51004e-05;3.68527e-06;-2.39366;25.6915;0.381126;0.000346181;0.000225734;-0.00654689;-0.0077229;-0.0385437;-0.00129852;0.0393313;-5.93781;-0.000446421;0.00047278;0.00039346;0.000605873;-0.000658834;0.000632354;1.1346;0.881366;0.000730393;0.000843138;0.919614;1.08741;116.343;161.343;-0.0015025;-0.000446366;0.000608089;0.000337585;0.000393387;0.00368008;0.00692369;0;0.0156302;-0.00919252;-0.0377956;-0.00913702;0.0399562;-5.63682;-1.06165e-05;1.47408e-05;0.000260724;0.000261523;-1.14149e-05;0.000136469;0.0407191;24.5585;0.000178275;0.000181958;22.9106;0.0436479;47.333;92.333;0.00197243;-1.0839e-05;-0.000637958;0.000667262;0.000260521;-0.00168516;0.00143224;0;0.0232924;0.0142568
5000.03;6;25.8018;-0.00370963;-0.000143753;-2.39502;25.6878;0.367345;-0.00101464;-0.00352196;-0.0203279;-0.0102441;-0.0563888;0.00501942;0.0575311;-5.93149;-0.000385576;0.00010145;0.000144081;0.000162848;-0.000404343;0.000283595;2.6761;0.373678;0.000337216;0.000378127;0.402747;2.48295;166.322;31.3217;0.000222142;-0.000385575;0.000114987;8.79198e-05;0.00014408;0.00193703;0.00202305;0;0.0115906;-0.0120311;-0.0555691;-0.00831751;0.0574617;-5.636;-8.88075e-06;0.000102286;0.000148878;0.000199166;-5.91692e-05;0.000129168;;;0.00015628;0.000172224;3.36604;0.297085;41.112;86.112;0.000495436;-8.89053e-06;3.12544e-05;0.000173306;0.000148882;0.00283551;0.00209139;0;0.0124673;0.0142923
6000.03;7;25.8045;-0.00101484;-3.93265e-05;-2.39446;25.6905;0.371775;-0.00045894;-0.00082714;-0.015898;-0.0125094;-0.0647659;-0.00270745;0.0660185;-5.93922;1.69021e-05;-0.000320061;0.000397823;0.000579806;-0.000165081;0.000372444;-0.0424866;-23.5368;0.000451734;0.000496592;3.51224;0.284718;106.739;151.739;0.000348136;1.69292e-05;-0.000420192;-0.000219968;0.000397786;0.00442021;0.00241345;0;0.0126898;-0.0139807;-0.0650002;-0.0152502;0.0682133;-5.64293;-0.000122693;0.000188422;0.00024724;0.00032631;-0.000201764;0.000264037;0.496253;2.0151;0.000307697;0.000352049;1.61729;0.618319;27.3865;72.3865;0.00221298;-0.000122817;-0.000154548;0.000531265;0.000247246;-9.10987e-05;0.000290708;0;0.0174323;0.014375
7000.03;8;25.8039;-0.0016152;-6.25913e-05;-2.39426;25.6899;0.370579;-0.000253359;-0.00139372;-0.017094;-0.012573;-0.0781778;0.000956101;0.0791881;-5.93556;-0.000225596;-0.000509906;0.00035627;0.000652403;-0.000521729;0.000587066;0.633216;1.57924;0.000679283;0.000782754;1.25046;0.799703;85.9272;130.927;-0.000528144;-0.000225525;-0.000675345;-0.000344564;0.000356172;0.00727856;0.00588292;0;0.0151112;-0.014264;-0.0771732;-0.0134995;0.0796329;-5.64118;-3.76397e-05;7.21863e-05;0.000147545;0.000172359;-6.24535e-05;0.000117406;0.255107;3.91993;0.000140432;0.000156542;2.75979;0.362346;28.4352;73.4352;0.00297929;-3.79019e-05;-0.000583387;0.000727638;0.000147378;-0.0030192;0.000509676;0;0.0238621;0.0143066
8000.03;9;25.8021;-0.00342475;-0.000132714;-2.39498;25.6881;0.362805;-0.000978204;-0.00316789;-0.0248682;-0.014055;-0.087941;0.00258797;0.0890947;-5.93392;-0.00054034;-0.000397588;-8.17598e-05;0.000147917;-0.000770017;0.000458967;-6.60887;-0.151312;0.000569094;0.000611956;0.192096;5.20574;25.2266;70.2266;-0.00101156;-0.000540362;-0.000345125;-0.000450028;-8.17403e-05;0.00617065;0.00674515;0;0.0153387;-0.0164077;-0.0856466;-0.0172291;0.0888898;-5.64491;6.8297e-07;2.95619e-05;0.000229633;0.000233388;-3.07246e-06;0.00011823;;;0.000156626;0.00015764;;;42.5311;87.5311;0.00302485;4.27048e-07;-0.000657076;0.000716043;0.000229417;-0.0055036;0.00315689;0;0.0231892;0.0143417
9000.03;10;25.8021;-0.0034411;-0.000133347;-2.39427;25.6882;0.360035;-0.000269412;-0.00307927;-0.0276382;-0.0142751;-0.0948655;-0.00290504;0.0959775;-5.93942;-0.000550071;3.13849e-06;0.000166496;0.00016651;-0.000550085;0.000358297;3.3038;0.302681;0.000433032;0.00047773;0.302699;3.30361;153.614;18.6136;-0.00218638;-0.000550101;0.000251023;-0.000244569;0.000166465;0.0064296;0.005682;0;0.0137503;-0.0170262;-0.0935814;-0.0226662;0.097781;-5.65034;-4.25202e-05;5.19146e-05;0.000258178;0.000266888;-5.12308e-05;0.00015906;0.164693;6.07189;0.000197233;0.000212079;5.20953;0.191956;40.5241;85.5241;0.00146301;-4.27356e-05;-0.000554766;0.000658413;0.000258025;-0.00200153;0.00235514;0;0.0226496;0.0158773
10000;11;25.8049;-0.000631109;-2.44564e-05;-2.38776;25.6915;0.373541;0.00624045;0.000156192;-0.0141314;-0.016783;-0.102784;0.00751498;0.104416;-5.929;-0.000523118;8.53915e-05;0.000763032;0.000768677;-0.000528763;0.00064872;0.685578;1.45862;0.000753334;0.00086496;1.45373;0.687887;69.4658;114.466;-0.00117525;-0.000523128;5.91743e-06;0.000164763;0.000763036;0.00518109;0.00257931;0;0.0162983;-0.0125474;-0.102835;-0.00985487;0.104065;-5.63753;-0.000130549;-9.40335e-05;6.95704e-05;0.000106822;-0.0001678;0.000137311;1.8765;0.532908;0.00015985;0.000183081;0.636601;1.57084;65.398;110.398;0.00149161;-0.000130736;-0.000807777;0.000619568;6.92486e-05;-0.00277555;0.00126944;0;0.0191178;0.0183308
11000;12;25.8043;-0.00119264;-4.62166e-05;-2.37489;25.6922;0.365281;0.0191153;0.000904311;-0.0223919;-0.0180503;-0.106775;0.00550354;0.108429;-5.93101;-0.000507828;6.96417e-05;0.000639774;0.000643985;-0.000512039;0.000578012;0.793761;1.25982;0.000668878;0.000770683;1.25769;0.79511;45.6786;90.6786;-0.00027518;-0.000507963;-0.000384842;0.000523605;0.000639703;0.00489843;0.00334567;0;0.0143102;-0.00346696;-0.108474;-0.0157197;0.109662;-5.6434;0.000257897;-0.00013815;-8.40696e-05;0.000306734;-0.000132906;0.00021982;3.06767;0.325981;0.000260356;0.000293093;2.3079;0.433294;117.961;162.961;0.000857522;0.00025751;-0.0011667;0.000890749;-8.47407e-05;-0.00106974;0.00415356;0;0.0176844;0.0184948
12000;13;25.8058;0.000254873;9.87669e-06;-2.36877;25.6941;0.372669;0.0252312;0.00281661;-0.0150041;-0.0203523;-0.103656;-0.000155778;0.105635;-5.93667;-0.00035298;-4.30302e-05;0.000328117;0.000330825;-0.000355688;0.000343256;1.07577;0.929563;0.000396445;0.000457675;0.930099;1.07515;48.1341;93.1341;0.000274108;-0.000353226;-0.000789301;0.000702733;0.000327806;0.00605025;0.00438902;0;0.0137216;-0.000112872;-0.105978;-0.0194406;0.107747;-5.64712;0.000483939;-0.000153023;-1.1196e-05;0.000527414;-5.46713e-05;0.000291043;43.2241;0.0231352;0.000371178;0.000388057;9.64701;0.103659;123.741;168.741;0.00123202;0.000483088;-0.00161866;0.00131334;-1.24944e-05;-0.000570258;0.00329856;0;0.0208913;0.0185155
13000;14;25.8054;-0.000172367;-6.67945e-06;-2.36535;25.694;0.376832;0.0286574;0.00264243;-0.0108405;-0.0228758;-0.0995413;0.00113064;0.102142;-5.93538;-0.000500763;-0.000283036;0.00129793;0.00134142;-0.000544249;0.000942833;0.385816;2.59191;0.00112065;0.00125711;2.46471;0.405727;69.7039;114.704;0.000358139;-0.000500786;-0.000923591;0.000356369;0.00129755;0.00614657;0.00352233;0;0.0160977;0.000965083;-0.102288;-0.0136372;0.103197;-5.64132;0.000292925;-0.000112698;0.000141255;0.000352928;8.12524e-05;0.000135838;-2.07374;-0.482222;0.000213421;0.000181117;-4.3436;-0.230224;112.058;157.058;0.00157779;0.000292326;-0.00132599;0.00110078;0.000140382;0.000501254;0.00396042;0;0.0235472;0.0184929
14000;15;25.804;-0.00157307;-6.09586e-05;-2.36024;25.6931;0.374105;0.0337598;0.00174474;-0.0135674;-0.0253325;-0.0970481;0.000535602;0.100301;-5.93598;-0.00022317;-0.000261677;0.00108457;0.00113499;-0.000273587;0.000704289;0.205768;4.85985;0.000862444;0.000939052;4.14855;0.241048;68.7684;113.768;0.00107697;-0.000223336;-0.00115738;0.000632859;0.00108394;0.00531622;0.00481295;0;0.0160028;0.00274726;-0.0991163;-0.0149242;0.100271;-5.6426;0.000429532;-0.000129043;7.01108e-05;0.000471063;2.85797e-05;0.000221242;-6.12646;-0.163226;0.000304962;0.000294989;-16.4824;-0.0606706;121.595;166.595;0.00164298;0.000428444;-0.00173808;0.00148057;6.86088e-05;0.00192519;0.00370325;0;0.0257398;0.0185681
