Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Load ADC 1 channel 1;Position ADC 1 channel 2
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;kN;mm
0.02515;1;25.7575;0;0;-2.30394;25.6269;1.18517;0;0;0;0;0;0;0;-7.16446;-3.33067e-16;-1.04083e-16;-1.11022e-16;-6.98628e-17;-3.74226e-16;1.52182e-16;;;2.29765e-16;2.02909e-16;;;0;45;0;-3.33067e-16;-8.32667e-17;-1.249e-16;-1.11022e-16;0;0;0;0;0;0;0;0;-6.0148;2.22045e-16;1.0842e-18;0;2.2205e-16;-5.29383e-21;1.11028e-16;;;1.48035e-16;1.48037e-16;;;0;45;0;2.22045e-16;4.77049e-18;-2.60209e-18;0;0;0;0;0;-0.0141638;2.18822
1000.03;2;25.7628;0.00527682;0.000204865;-2.3044;25.632;1.18936;-0.000459554;0.00506816;0.00419351;0.000512642;-0.00274505;-0.0068408;0.00738882;-7.1713;5.69639e-05;-0.000361989;0.000143311;0.000464692;-0.000264418;0.000364555;-0.397485;-2.51582;0.000426212;0.000486073;1.75742;0.569016;141.883;6.88336;-0.000651197;5.69496e-05;-0.000324408;-0.000399567;0.000143324;0.00281125;-0.00137073;0;0.0158147;0.000624568;-0.00347207;-0.00973356;0.0103531;-6.02453;0.000133611;7.11785e-05;-0.000282449;0.000145451;-0.000294289;0.00021987;0.473044;2.11397;0.000258686;0.00029316;0.494245;2.02329;132.803;177.803;-0.000619134;0.000133584;-0.000101688;0.000244117;-0.000282452;-0.00232005;0.00456921;0;0.021548;-0.0138825;2.19509
2000.03;3;25.7627;0.00515788;0.000200247;-2.30315;25.6321;1.18558;0.000787851;0.005236;0.000410168;0.0020964;-0.00375402;-0.0102461;0.0111117;-7.1747;-0.000118921;-0.000689844;-0.000155271;0.000552988;-0.00082718;0.000690084;-0.765895;-1.30566;0.000802064;0.000920112;0.668522;1.49584;63.9083;108.908;0.000233263;-0.000118857;-0.000790559;-0.000589126;-0.000155345;0.00136836;-0.000635717;0;0.0127894;0.00199606;-0.00504813;-0.0136671;0.0147057;-6.02847;-1.62621e-05;0.000136268;-0.000299573;3.86407e-05;-0.000354476;0.000196558;-0.0542842;-18.4216;0.000250194;0.000262078;0.109008;9.17364;143.664;8.66367;-0.000428155;-1.6355e-05;-0.000179414;0.000452039;-0.00029958;-0.00373739;0.00452559;0;0.0231233;-0.0137078;2.20217
3000.03;4;25.7603;0.00277175;0.000107609;-2.30309;25.6301;1.17672;0.000848168;0.00325129;-0.00844637;0.00107663;-0.00770564;-0.00751023;0.0108139;-7.17197;0.000112545;-0.000517911;-0.000496919;0.000408723;-0.000793097;0.00060091;0.226485;4.4153;0.000705602;0.000801214;0.515351;1.94043;70.5109;115.511;-0.000284517;0.000112579;-0.000589921;-0.000445857;-0.000496959;0.0018148;-9.33555e-07;0;0.0151173;0.00141027;-0.00745697;-0.0160018;0.0177103;-6.02827;-0.00015282;0.000114546;-0.000401712;-0.000108128;-0.000446404;0.000169138;-0.380422;-2.62866;0.000268906;0.000225517;-0.24222;-4.12848;123.941;168.941;-0.000619103;-0.000152843;-1.61843e-05;0.000245309;-0.000401705;-0.00439705;0.00224507;0;0.0245326;-0.0133181;2.20975
4000.03;5;25.7598;0.00226013;8.77464e-05;-2.30272;25.6297;1.17498;0.00121333;0.00284953;-0.0101824;0.00143657;-0.00891736;-0.0135968;0.0163235;-7.17805;-3.53354e-05;-0.000662221;1.16895e-05;0.000650815;-0.000674461;0.000662638;3.02282;0.330817;0.000765189;0.000883517;0.964941;1.03633;33.5677;78.5677;0.00028286;-3.53384e-05;-0.000657722;-0.000666719;1.16925e-05;0.00154689;-3.27163e-05;0;0.0179997;0.00141036;-0.00986615;-0.0232415;0.0252883;-6.03551;-0.000200278;0.000125851;-0.00031688;-0.00011988;-0.000397278;0.000138699;-0.632031;-1.5822;0.000235301;0.000184932;-0.301753;-3.31396;143.916;8.91569;0.000595038;-0.000200336;-0.000112553;0.000364282;-0.000316878;-0.00691095;0.00183411;0;0.029596;-0.0131647;2.21729
5000.03;6;25.7613;0.00381012;0.000147923;-2.30095;25.6313;1.17797;0.00299054;0.00442982;-0.00719417;0.00186877;-0.0138538;-0.0055461;0.0150392;-7.17;-0.000172587;-0.000827228;-0.000486543;0.000512425;-0.00117156;0.00084199;-0.35472;-2.81912;0.000996763;0.00112265;0.437389;2.28629;59.3653;104.365;0.00012931;-0.000172504;-0.000934165;-0.000720256;-0.000486638;0.0018348;9.00439e-05;0;0.0173328;0.00191517;-0.0133532;-0.0194915;0.0237043;-6.03176;8.05798e-05;0.000228878;-0.000436174;0.000167375;-0.000522969;0.000345172;0.184742;5.41295;0.000415822;0.000460229;0.320047;3.12454;126.835;171.835;0.000126631;8.0548e-05;0.000117251;0.000340563;-0.000436155;-0.00697575;0.00249119;0;0.0330835;-0.0127776;2.22441
6000.03;7;25.7607;0.00312901;0.000121479;-2.30076;25.6308;1.17542;0.00317265;0.00387854;-0.00974115;-0.00153642;-0.0130599;-0.0178161;0.0221435;-7.18227;-4.93792e-05;-0.000592788;0.00037089;0.000789686;-0.000468176;0.000628931;0.133137;7.51105;0.000734092;0.000838575;1.68673;0.592863;103.359;148.359;0.000212001;-4.92998e-05;-0.000746817;-0.000438824;0.000370787;0.00147583;0.000842507;0;0.0273152;-0.00170559;-0.0129816;-0.033954;0.036391;-6.04875;-0.000280903;0.000201139;-0.000488298;-0.000158304;-0.000610897;0.000226297;-0.575269;-1.73832;0.000366089;0.000301729;-0.259133;-3.85902;133.44;178.44;0.000673888;-0.000280952;2.87565e-05;0.000373558;-0.000488278;-0.00779991;0.000283182;0;0.0359619;-0.012735;2.23125
7000.03;8;25.7592;0.00170866;6.63362e-05;-2.29982;25.6297;1.16958;0.00411703;0.00280294;-0.0155816;-0.00116325;-0.014886;-0.0182768;0.0236006;-7.18273;-6.33687e-05;-0.000747204;-0.00031931;0.000566744;-0.000949422;0.000758083;-0.198455;-5.03892;0.000884604;0.00101078;0.596935;1.67522;69.3629;114.363;-0.000305091;-6.32649e-05;-0.000902128;-0.00059224;-0.000319438;0.00333804;-0.00078498;0;0.0212389;-0.00127062;-0.014873;-0.0367235;0.0396414;-6.05152;-0.000331956;0.000313489;-0.000392576;-4.73151e-05;-0.000677218;0.000314951;-0.845584;-1.18261;0.000436562;0.000419935;-0.0698669;-14.3129;141.848;6.8475;0.00047761;-0.000332004;0.000187263;0.000439724;-0.000392545;-0.00460376;0.00209299;0;0.0391554;-0.0122549;2.23772
8000.03;9;25.7597;0.00218066;8.4661e-05;-2.29975;25.63;1.1743;0.00418432;0.00306777;-0.0108665;0.00039226;-0.0153624;-0.0224124;0.0271749;-7.18687;-1.54788e-05;-0.000911556;0.00014184;0.000978124;-0.000851763;0.000914944;0.109129;9.16349;0.00105733;0.00121992;1.14835;0.870813;101.148;146.148;2.41242e-06;-1.53744e-05;-0.00103438;-0.00078875;0.00014172;0.0010766;-0.000523112;0;0.0185153;0.00101037;-0.0153415;-0.0402996;0.0431329;-6.0551;-0.000297984;0.000329108;-0.000433339;-2.96672e-05;-0.000701655;0.000335994;-0.687646;-1.45424;0.000458201;0.000447992;-0.0422817;-23.6509;125.46;170.46;0.000896715;-0.000297969;0.000376968;0.00028124;-0.000433356;-0.00534947;0.00203188;0;0.0375991;-0.0120547;2.24042
