Time;Image index (Image index);Distance L(t) (Extensometer 1);Change in distance (Extensometer 1);Strain - RC (Extensometer 1);Distance x L(t) (Extensometer 1);Distance y L(t) (Extensometer 1);Distance z L(t) (Extensometer 1);Change in distance x (Extensometer 1);Change in distance y (Extensometer 1);Change in distance z (Extensometer 1);X-displacement (Strain Gauge 1);Y-displacement (Strain Gauge 1);Z-displacement (Strain Gauge 1);Displacement (Strain Gauge 1);Height (Strain Gauge 1);Exx - RC (Strain Gauge 1);Exy - RC (Strain Gauge 1);Eyy - RC (Strain Gauge 1);Max. principal strain - RC (Strain Gauge 1);Min. principal strain - RC (Strain Gauge 1);Max. shear strain - RC (Strain Gauge 1);Poisson ratio -Exx/Eyy (Strain Gauge 1);Poisson ratio -Eyy/Exx (Strain Gauge 1);Von Mises - RC (Strain Gauge 1);Tresca - RC (Strain Gauge 1);Poisson ratio -strain max/min (Strain Gauge 1);Poisson ratio -strain min/max (Strain Gauge 1);Max. strain angle (Strain Gauge 1);Max. shear angle (Strain Gauge 1);Vorticity-z (Strain Gauge 1);du/dx (Strain Gauge 1);du/dy (Strain Gauge 1);dv/dx (Strain Gauge 1);dv/dy (Strain Gauge 1);dw/dx (Strain Gauge 1);dw/dy (Strain Gauge 1);Ezz plane stress state (Strain Gauge 1);Stereo reconstruction error (Strain Gauge 1);X-displacement (Strain Gauge 2);Y-displacement (Strain Gauge 2);Z-displacement (Strain Gauge 2);Displacement (Strain Gauge 2);Height (Strain Gauge 2);Exx - RC (Strain Gauge 2);Exy - RC (Strain Gauge 2);Eyy - RC (Strain Gauge 2);Max. principal strain - RC (Strain Gauge 2);Min. principal strain - RC (Strain Gauge 2);Max. shear strain - RC (Strain Gauge 2);Poisson ratio -Exx/Eyy (Strain Gauge 2);Poisson ratio -Eyy/Exx (Strain Gauge 2);Von Mises - RC (Strain Gauge 2);Tresca - RC (Strain Gauge 2);Poisson ratio -strain max/min (Strain Gauge 2);Poisson ratio -strain min/max (Strain Gauge 2);Max. strain angle (Strain Gauge 2);Max. shear angle (Strain Gauge 2);Vorticity-z (Strain Gauge 2);du/dx (Strain Gauge 2);du/dy (Strain Gauge 2);dv/dx (Strain Gauge 2);dv/dy (Strain Gauge 2);dw/dx (Strain Gauge 2);dw/dy (Strain Gauge 2);Ezz plane stress state (Strain Gauge 2);Stereo reconstruction error (Strain Gauge 2);Load ADC 1 channel 1;Position ADC 1 channel 2
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;mm;mm;mm;mm;mm;S;S;S;S;S;S;;;S;S;;;°;°;S;S;S;S;S;S;S;S;pixel;kN;mm
0.02515;1;25.7528;0;0;-2.33407;25.6339;0.814098;0;0;0;0;0;0;0;-7.00384;0;5.55112e-17;2.22045e-16;2.35149e-16;-1.31044e-17;1.24127e-16;;;1.61312e-16;1.65502e-16;;;0;45;0;0;6.93889e-17;4.16334e-17;2.22045e-16;0;0;0;0;0;0;0;0;-6.18271;2.22045e-16;4.16334e-17;2.22045e-16;2.63678e-16;1.80411e-16;4.16334e-17;;;1.5564e-16;5.55112e-17;;;0;45;0;2.22045e-16;6.93889e-17;1.38778e-17;2.22045e-16;0;0;0;0;-0.00938269;2.18894
1000.03;2;25.7517;-0.00107837;-4.18737e-05;-2.33346;25.6328;0.816893;0.000614729;-0.00111632;0.00279496;-0.000352271;-0.000530869;0.00191956;0.00202253;-7.00193;-0.000130946;-0.000496839;0.000279545;0.000611863;-0.000463264;0.000537564;0.468426;2.13481;0.000622698;0.000716752;1.32076;0.757138;157.464;22.4636;-0.00135211;-0.00013105;-0.000318496;-0.000675109;0.000279617;0.00361751;-0.00057074;0;0.00997094;-0.000435243;2.6919e-05;-4.26233e-05;0.000438153;-6.18276;1.25802e-05;-0.00024936;-0.000130676;0.000200396;-0.000318492;0.000259444;0.0962704;10.3874;0.000302155;0.000345925;0.629203;1.58931;12.8375;57.8375;0.00142464;1.24335e-05;9.7571e-05;-0.000596341;-0.00013065;-4.24359e-05;-0.0033347;0;0.0153239;-0.00911437;2.18912
2000.03;3;25.7544;0.0015417;5.98653e-05;-2.33633;25.6351;0.819703;-0.00225452;0.00116489;0.00560436;-0.00499145;0.000513812;-0.0158365;0.0166125;-7.01968;-0.000238291;-0.000185146;0.000166429;0.000238347;-0.00031021;0.000274279;1.43179;0.698427;0.000317614;0.000365705;0.768343;1.3015;159.47;24.4697;-0.000867499;-0.0002384;0.000130671;-0.000500836;0.000166438;0.00120759;-7.70814e-05;0;0.00955099;-0.00606256;-5.50332e-05;-0.0194051;0.0203301;-6.20212;0.000170117;-0.000369428;-0.000131818;0.000418234;-0.000379934;0.000399084;1.29055;0.774863;0.000461;0.000532112;1.10081;0.908425;6.9108;51.9108;0.00173028;0.000170061;-0.000239798;-0.000499097;-0.000131778;0.00158582;-0.00321309;0;0.0139957;-0.00900909;2.1962
3000.03;4;25.7523;-0.000488973;-1.89872e-05;-2.33423;25.6336;0.80812;-0.000157289;-0.000316399;-0.00597819;-0.00629666;-0.00115297;-0.0121652;0.0137466;-7.01601;4.97678e-05;-0.000192744;-7.65586e-05;0.000189435;-0.000216225;0.00020283;0.650061;1.53832;0.000234378;0.00027044;0.876098;1.14143;10.3646;55.3646;-0.00144752;4.96671e-05;0.000102971;-0.000488497;-7.65454e-05;0.0018505;0.000355767;0;0.0134391;-0.00686955;-0.00170606;-0.0201225;0.0213311;-6.20284;0.000204288;-0.0003898;-0.000202431;0.000440587;-0.00043873;0.000439658;1.00917;0.99091;0.000507674;0.000586211;1.00423;0.995785;13.528;58.528;0.00214316;0.00020424;-0.000281686;-0.000497958;-0.000202395;0.00171833;-0.00455161;0;0.0202331;-0.00925054;2.20267
4000.03;5;25.7532;0.000408946;1.58797e-05;-2.33382;25.6343;0.815483;0.00025944;0.000390449;0.00138479;-0.00611143;-0.005581;-0.00669195;0.0106433;-7.01054;-0.000203145;-0.000514981;2.02742e-05;0.000435523;-0.000618393;0.000526958;10.0199;0.0998016;0.000611524;0.000702611;0.704281;1.41989;1.44873;46.4487;-0.00118853;-0.000203376;-0.000177165;-0.000852721;2.03911e-05;0.00140151;-0.00134092;0;0.0104066;-0.00674524;-0.00512789;-0.0134242;0.0158746;-6.19614;0.000255283;-0.000421351;-0.000164087;0.000516241;-0.000425045;0.000470643;1.55578;0.642765;0.000544301;0.000627523;1.21456;0.823346;112.356;157.356;0.00237815;0.000255332;-0.000559597;-0.000283047;-0.000164155;0.00207563;-0.0023754;0;0.0129078;-0.00920046;2.20982
5000.03;6;25.7524;-0.000393611;-1.52842e-05;-2.3321;25.6339;0.808985;0.00197795;-5.35342e-05;-0.00511311;-0.00300885;-0.010635;0.0107544;0.0154211;-6.99309;-0.000196478;-0.000545688;0.000177499;0.000567348;-0.000586326;0.000576837;1.10692;0.903406;0.000666104;0.000769116;0.967631;1.03345;171.434;36.434;-0.000772073;-0.00019669;-0.000242262;-0.000849001;0.000177619;0.00186123;-0.00167698;0;0.0149591;-0.00277733;-0.0102571;0.00303152;0.0110504;-6.17968;5.54004e-05;-0.000296012;-0.000143611;0.000268184;-0.000356394;0.000312289;0.385768;2.59223;0.000361797;0.000416385;0.752493;1.32892;81.9212;126.921;0.00220033;5.54172e-05;-0.000359606;-0.000232405;-0.000143631;0.000822887;-0.00129037;0;0.0139181;-0.00910231;2.21765
6000.03;7;25.7525;-0.000323341;-1.25555e-05;-2.33277;25.6338;0.810276;0.00130845;-8.46171e-05;-0.00382258;-0.00549435;-0.0104316;0.0104466;0.0157524;-6.9934;-0.00029986;-0.000506525;0.000258306;0.000557544;-0.000599098;0.000578321;1.16087;0.861424;0.000667931;0.000771095;0.93064;1.07453;167.335;32.3349;-0.00119412;-0.000300087;-0.000169935;-0.000842927;0.00025842;0.00216945;0.000625435;0;0.0142428;-0.00455453;-0.00849;-0.00129687;0.0097214;-6.18401;-8.87016e-06;-0.000399193;-4.94593e-05;0.000370544;-0.000428873;0.000399708;;;0.000461953;0.000532945;0.863994;1.15742;10.5386;55.5386;0.00158642;-8.90959e-06;-0.000310331;-0.000488058;-4.94278e-05;0.0019969;-0.00162707;0;0.016218;-0.00894366;2.22517
7000.03;8;25.751;-0.00185067;-7.18627e-05;-2.33213;25.6325;0.806196;0.00194268;-0.00143268;-0.00790171;-0.00510732;-0.00785468;0.000507319;0.00938286;-7.00334;-0.000303536;-0.000575377;0.000200221;0.000576436;-0.000679751;0.000628093;1.51601;0.659628;0.000726077;0.000837458;0.84801;1.17923;175.801;40.8012;-0.00128102;-0.000303663;-0.000385855;-0.000764804;0.000200312;0.00187805;0.000186627;0;0.0320371;-0.00413418;-0.00590428;-0.0106867;0.0128902;-6.1934;8.62187e-05;-0.000309913;-0.000217262;0.000279545;-0.000410588;0.000345067;0.396842;2.51989;0.000400836;0.000460089;0.68084;1.46877;66.9879;111.988;0.00226444;8.6225e-05;-0.000331056;-0.000288763;-0.000217269;0.000871166;-0.00147328;0;0.0154749;-0.00892959;2.23272
8000.03;9;25.7533;0.000438306;1.70197e-05;-2.33348;25.6344;0.813955;0.000592613;0.000498836;-0.000143141;-0.00468436;-0.00692679;-0.00263469;0.00876729;-7.00648;-0.00030766;-0.000400036;0.000406292;0.00058547;-0.000486837;0.000536154;0.757238;1.32059;0.000619969;0.000714871;1.2026;0.831533;154.97;19.9699;-0.00123817;-0.000307852;-6.2106e-05;-0.000737725;0.00040637;0.00171379;0.000212009;0;0.0204857;-0.00486046;-0.00608715;-0.0097882;0.0125094;-6.1925;3.18114e-05;-0.000301531;-9.50392e-05;0.000276515;-0.000339743;0.000308129;0.334719;2.98758;0.000356421;0.000410839;0.813895;1.22866;87.6128;132.613;0.00210304;3.18377e-05;-0.000407191;-0.000195857;-9.50766e-05;0.00140751;-0.0021709;0;0.0134726;-0.00908093;2.24018
